,Time,Time(s),Temp(K)
0,2015-07-14 21:51:56,0,20.0
1,2015-07-14 21:52:02,6,20.0
2,2015-07-14 21:52:07,11,20.0
3,2015-07-14 21:52:13,17,20.000999450683594
4,2015-07-14 21:52:18,22,20.000999450683594
5,2015-07-14 21:52:23,27,20.000999450683594
6,2015-07-14 21:52:29,33,20.00200080871582
7,2015-07-14 21:52:35,39,20.00200080871582
8,2015-07-14 21:52:41,45,20.00200080871582
9,2015-07-14 21:52:47,51,20.000999450683594
10,2015-07-14 21:52:52,56,20.00200080871582
11,2015-07-14 21:52:58,62,20.000999450683594
12,2015-07-14 21:53:03,67,20.000999450683594
13,2015-07-14 21:53:08,72,20.000999450683594
14,2015-07-14 21:53:14,78,20.000999450683594
15,2015-07-14 21:53:16,80,20.000999450683594
16,2015-07-14 21:53:19,83,20.000999450683594
17,2015-07-14 21:53:25,89,20.000999450683594
18,2015-07-14 21:53:31,95,20.000999450683594
19,2015-07-14 21:53:36,100,20.000999450683594
20,2015-07-14 21:53:42,106,20.000999450683594
21,2015-07-14 21:53:48,112,20.000999450683594
22,2015-07-14 21:53:54,118,20.000999450683594
23,2015-07-14 21:53:59,123,20.000999450683594
24,2015-07-14 21:54:05,129,20.000999450683594
25,2015-07-14 21:54:11,135,20.000999450683594
26,2015-07-14 21:54:17,141,20.000999450683594
27,2015-07-14 21:54:22,146,20.000999450683594
28,2015-07-14 21:54:27,151,20.000999450683594
29,2015-07-14 21:54:33,157,20.000999450683594
30,2015-07-14 21:54:38,162,20.0
31,2015-07-14 21:54:44,168,20.000999450683594
32,2015-07-14 21:54:50,174,20.0
33,2015-07-14 21:54:56,180,20.0
34,2015-07-14 21:55:01,185,20.0
35,2015-07-14 21:55:06,190,20.0
36,2015-07-14 21:55:12,196,20.0
37,2015-07-14 21:55:17,201,20.0
38,2015-07-14 21:55:23,207,20.0
39,2015-07-14 21:55:28,212,20.0
40,2015-07-14 21:55:33,217,20.0
41,2015-07-14 21:55:39,223,20.0
42,2015-07-14 21:55:45,229,20.0
43,2015-07-14 21:55:51,235,20.0
44,2015-07-14 21:55:56,240,20.0
45,2015-07-14 21:56:01,245,20.0
46,2015-07-14 21:56:06,250,20.0
47,2015-07-14 21:56:12,256,20.0
48,2015-07-14 21:56:17,261,20.0
49,2015-07-14 21:56:22,266,20.0
50,2015-07-14 21:56:28,272,20.0
51,2015-07-14 21:56:33,277,20.0
52,2015-07-14 21:56:38,282,20.0
53,2015-07-14 21:56:44,288,20.0
54,2015-07-14 21:56:49,293,20.000999450683594
55,2015-07-14 21:56:54,298,20.0
56,2015-07-14 21:57:00,304,20.0
57,2015-07-14 21:57:05,309,20.0
58,2015-07-14 21:57:10,314,20.0
59,2015-07-14 21:57:16,320,20.0
60,2015-07-14 21:57:21,325,20.0
61,2015-07-14 21:57:26,330,20.0
62,2015-07-14 21:57:31,335,20.0
63,2015-07-14 21:57:36,340,20.0
