,Time,Time(s),Temp(K),Wavelength,QWP_Pos
0,2015-07-18 14:16:18,0,20.0,1045,1
1,2015-07-18 14:16:24,6,20.0,1045,1
2,2015-07-18 14:16:29,11,20.0,1045,1
3,2015-07-18 14:16:35,17,20.0,1045,1
4,2015-07-18 14:16:40,22,20.0,1045,1
5,2015-07-18 14:16:46,28,20.0,1045,1
6,2015-07-18 14:16:52,34,20.0,1045,1
7,2015-07-18 14:16:57,39,20.0,1045,1
8,2015-07-18 14:17:02,44,20.0,1045,1
9,2015-07-18 14:17:07,49,20.0,1045,1
10,2015-07-18 14:17:12,54,20.0,1045,1
11,2015-07-18 14:17:18,60,20.0,1045,1
12,2015-07-18 14:17:24,66,20.0,1045,1
13,2015-07-18 14:17:30,72,20.0,1045,1
14,2015-07-18 14:17:35,77,20.0,1045,1
15,2015-07-18 14:17:41,83,20.0,1045,1
16,2015-07-18 14:17:47,89,20.0,1045,1
17,2015-07-18 14:17:53,95,20.0,1045,1
18,2015-07-18 14:17:58,100,20.0,1045,1
19,2015-07-18 14:18:03,105,20.0,1045,1
20,2015-07-18 14:18:09,111,20.0,1045,1
21,2015-07-18 14:18:15,117,20.0,1045,1
22,2015-07-18 14:18:21,123,20.0,1045,1
23,2015-07-18 14:18:26,128,20.0,1045,1
24,2015-07-18 14:18:32,134,20.0,1045,1
25,2015-07-18 14:18:37,139,20.0,1045,1
26,2015-07-18 14:18:43,145,20.0,1045,1
27,2015-07-18 14:18:49,151,20.0,1045,1
28,2015-07-18 14:18:55,157,20.0,1045,1
29,2015-07-18 14:19:01,163,20.0,1045,1
30,2015-07-18 14:19:07,169,20.0,1045,1
31,2015-07-18 14:19:13,175,20.0,1045,1
32,2015-07-18 14:19:18,180,20.0,1045,1
33,2015-07-18 14:19:23,185,20.0,1045,1
34,2015-07-18 14:19:29,191,20.0,1045,1
35,2015-07-18 14:19:34,196,20.0,1045,1
36,2015-07-18 14:19:40,202,20.0,1045,1
37,2015-07-18 14:19:45,207,20.0,1045,1
38,2015-07-18 14:19:50,212,20.0,1045,1
39,2015-07-18 14:19:55,217,20.0,1045,1
40,2015-07-18 14:20:00,222,20.0,1045,1
41,2015-07-18 14:20:06,228,20.0,1045,1
42,2015-07-18 14:20:11,233,20.0,1045,1
43,2015-07-18 14:20:16,238,20.0,1045,1
44,2015-07-18 14:20:21,243,20.0,1045,1
45,2015-07-18 14:20:27,249,20.0,1045,1
46,2015-07-18 14:20:32,254,20.0,1045,1
47,2015-07-18 14:20:38,260,20.0,1045,1
48,2015-07-18 14:20:43,265,20.0,1045,1
49,2015-07-18 14:20:48,270,20.0,1045,1
50,2015-07-18 14:20:53,275,20.0,1045,1
51,2015-07-18 14:20:58,280,20.0,1045,1
52,2015-07-18 14:21:03,285,20.0,1045,1
53,2015-07-18 14:21:09,291,20.0,1045,1
54,2015-07-18 14:21:14,296,20.0,1045,1
55,2015-07-18 14:21:16,298,20.0,1045,1
56,2015-07-18 14:21:20,302,20.0,1045,1
57,2015-07-18 14:21:26,308,20.0,1045,1
58,2015-07-18 14:21:31,313,20.0,1045,1
59,2015-07-18 14:21:36,318,20.0,1045,1
60,2015-07-18 14:21:42,324,20.0,1045,1
61,2015-07-18 14:21:47,329,20.0,1045,1
62,2015-07-18 14:21:53,335,20.0,1045,1
63,2015-07-18 14:21:58,340,20.0,1045,1
64,2015-07-18 14:22:03,345,20.0,1045,1
65,2015-07-18 14:22:08,350,20.0,1045,1
66,2015-07-18 14:22:14,356,20.0,1045,1
67,2015-07-18 14:22:20,362,20.0,1045,1
68,2015-07-18 14:22:25,367,20.0,1045,1
69,2015-07-18 14:22:30,372,20.0,1045,1
70,2015-07-18 14:22:35,377,20.0,1045,1
71,2015-07-18 14:22:40,382,20.0,1045,1
72,2015-07-18 14:22:45,387,20.0,1045,1
73,2015-07-18 14:22:51,393,20.0,1045,1
74,2015-07-18 14:22:57,399,20.0,1045,1
75,2015-07-18 14:23:03,405,20.0,1045,1
76,2015-07-18 14:23:08,410,20.0,1045,1
77,2015-07-18 14:23:14,416,20.0,1045,1
78,2015-07-18 14:23:19,421,20.0,1045,1
79,2015-07-18 14:23:24,426,20.0,1045,1
80,2015-07-18 14:23:29,431,20.0,1045,1
81,2015-07-18 14:23:34,436,20.0,1045,1
82,2015-07-18 14:23:40,442,20.0,1045,1
83,2015-07-18 14:23:46,448,20.0,1045,1
84,2015-07-18 14:23:51,453,20.0,1045,1
85,2015-07-18 14:23:57,459,20.0,1045,1
86,2015-07-18 14:24:03,465,20.0,1045,1
87,2015-07-18 14:24:09,471,20.0,1045,1
88,2015-07-18 14:24:15,477,20.0,1045,1
89,2015-07-18 14:24:20,482,20.0,1045,1
90,2015-07-18 14:24:25,487,20.0,1045,1
91,2015-07-18 14:24:30,492,20.0,1045,1
92,2015-07-18 14:24:36,498,20.0,1045,1
93,2015-07-18 14:24:41,503,20.0,1045,1
94,2015-07-18 14:24:48,510,20.0,1045,1
95,2015-07-18 14:24:53,515,20.0,1045,1
96,2015-07-18 14:24:58,520,20.0,1045,1
97,2015-07-18 14:25:04,526,20.0,1045,1
98,2015-07-18 14:25:10,532,20.0,1045,1
99,2015-07-18 14:25:16,538,20.0,1045,1
100,2015-07-18 14:25:21,543,20.0,1045,1
101,2015-07-18 14:25:26,548,20.0,1045,1
102,2015-07-18 14:25:31,553,20.0,1045,1
103,2015-07-18 14:25:37,559,20.0,1045,1
104,2015-07-18 14:25:42,564,20.0,1045,1
