,Wavelength(nm),B-Field(G),B-Field Orientation,Events(MeV),Raw Events(MeV),Power Drop,Power Drop Err,Asym Diff,Asym Diff Err,Loff A,Loff A Err,Loff B,Loff B Err,Loff g,Loff g Err,Loff w,Loff w Err,Loff P,Loff P Err
84390,1033.0,0.0,LF,181.8,204.4,0.25372061502657967,0.004045534831874767,0.0012797600272824565,0.007538210819746067,0.026904955838608153,0.00031043725528957675,0.030146571610051884,0.00042877957255373956,0.6500503451142376,0.024134975301208023,,,,
84391,1033.0,1.0,LF,182.3,204.9,0.25805591065514855,0.004152056257396439,-0.009630739381816881,-0.0077803170070240265,0.026656901766642992,0.0003668531417585042,0.025442907713675474,0.0004468826682975683,0.5877372479200013,0.028551747825798952,,,,
84392,1033.0,3.0,LF,182.3,204.9,0.2652391433359617,0.003696411351857954,-0.0001348803159614321,-0.006990654638156001,0.0295754821354423,0.00030285189282978393,0.03528060773841191,0.0004899487754067802,0.7320167551730321,0.024588050834299505,,,,
84393,1033.0,10.0,LF,18.6,20.9,0.29734476281814665,0.008812935178124794,-0.005899313109280237,-0.01732328484778164,0.042210851069594,0.0007743797751420199,0.04516258504938642,0.001762232703646946,0.9140006217668555,0.07253772659809093,,,,
84394,1033.0,30.0,LF,182.1,204.7,0.3729048741172347,0.001829122867664244,-0.007904838801718408,-0.003961685943267719,0.07194941786537874,0.00025512611520355356,0.049846755579691406,0.0005340135454099334,0.8717520840428458,0.019838524757867484,,,,
84395,1033.0,100.0,LF,18.4,20.7,0.32111866427933006,0.004546597293222595,-7.70328195853681e-05,-0.009149081203494903,0.09553721789274584,0.0007987977850135142,0.04825466204125591,0.0017187385078550183,0.8742690063184395,0.06521809854633226,,,,
84396,1033.0,300.0,LF,18.3,20.6,0.26236705419988465,0.004110228750803738,0.005843677340593819,0.007701418859699842,0.10132717320483839,0.0009407783057364841,0.05736698405823208,0.0014512821982758095,0.6974919172694006,0.043643465533905204,,,,
84397,1033.0,500.0,LF,182.5,205.1,0.23249572572794305,0.0012264500359886906,0.0014021024945667475,0.002216071116062672,0.10310183403069476,0.0003088185618333744,0.07106239057016486,0.0004453372194150037,0.6673252093228769,0.010697884000476766,,,,
84398,1033.0,1000.0,LF,18.4,20.7,0.3218094181225519,0.0033596801067683224,-0.00104254909843531,-0.00675460912607877,0.10101932721956004,0.001980534189742865,0.09156694664665758,0.0017089254416502156,0.3418268446715949,0.018093808222651404,,,,
84399,1033.0,1500.0,LF,18.5,20.8,0.3719020398641034,0.0031642031353211635,-0.0016599649202318077,-0.0067889010865651205,0.08376347242691505,0.005837378914955972,0.10606520886471582,0.005381391696401599,0.14997670603934654,0.013768345522172798,,,,
84400,1033.0,2000.0,LF,18.6,20.9,0.3904506989755724,0.003076278449603324,-0.0006156528060008024,-0.0067567223364518895,0.11013085136901236,0.0057457959788552665,0.07677561283778508,0.005235242652476064,0.16334441550997872,0.021291166368935098,,,,
84401,1033.0,2500.0,LF,18.4,20.6,0.41581601424822906,0.003126381017899116,-0.00624791605062224,-0.007118248211356124,-0.49999183438503086,1.431037822071693,0.6775451240009922,1.430530411737047,0.008489815029500747,0.018574987652610682,,,,
84402,1033.0,3000.0,LF,18.4,20.6,0.4265505098531415,0.002981223699193892,-0.009315114895385121,-0.00690071252774468,-0.49999525030595426,2.424297935049198,0.6831867413357362,2.423803232644151,0.006500879141507348,0.023693996837987345,,,,
84403,1033.0,3500.0,LF,18.5,20.8,0.43074501012746874,0.002729688546050127,-0.008106409488912105,-0.006332708386410221,0.11896328846943989,0.047459275594539,0.07799269468538574,0.04695962817683728,0.04896819080869252,0.03594837236617284,,,,
84404,1033.0,4000.0,LF,18.7,21.0,0.4389482457002129,0.0025929273095378837,-0.015363311108091362,-0.006094203831019968,-0.49999996954385917,6.134330368180356,0.7048597505546831,6.133836197185106,0.004077280798760199,0.03608695561378698,,,,
84405,1033.0,4500.0,LF,18.4,20.6,0.4350061907848909,0.00258488386244319,-0.003163340025733304,-0.006030971749149534,-0.4999999999681071,13.421506836321631,0.7062909802071358,13.421020816107141,0.0027334010467958284,0.05253299304045249,,,,
84406,1033.0,5000.0,LF,18.5,20.7,0.4451687444664081,0.002534532357751585,0.007091026848043492,0.006000755428558013,-0.49999991164942886,18.083337193712353,0.7093632674621504,18.082843445654635,0.0023809373472920615,0.0612938443284791,,,,
84409,1033.0,2250.0,LF,182.3,204.9,0.36934132921669793,0.000983844511698232,-0.002093052928810321,-0.002101583687308978,0.07173919930642905,0.006201021071014619,0.10973502293413022,0.0060441228318194856,0.07869501904440498,0.00592769175177961,,,,
84410,1033.0,2750.0,LF,182.6,205.1,0.38427176985134565,0.0009562506147036931,-0.004818920106171193,-0.002084131600047994,0.0845243692999467,0.009499586366563251,0.09717450787232415,0.009344319251657672,0.06222538059784787,0.007672069642781161,,,,
84411,1033.0,3250.0,LF,182.8,205.3,0.3997606965903681,0.000897777364507106,-0.0011092503858737778,-0.0019957990964416454,0.0705847306969985,0.027841226511000627,0.11997674089714962,0.027681881959373947,0.035831231212478616,0.009554089318337598,,,,
84413,1033.0,2.0,TF,182.2,204.8,0.25959232317808856,0.004373972954832767,-0.00801384418070363,-0.008209144807384343,0.03559660664873521,0.0016494837931058188,0.01208010685625818,0.0014644314163421248,,,0.30677573405118247,0.03237889315619965,-0.9999999999999555,0.20550133052943179
84416,1045.0,0.0,LF,182.2,204.7,0.2805690905267882,0.0037663380380281047,-0.002845957440684491,-0.007253866296560372,0.028571113935598864,0.000310830695746159,0.03471331271941899,0.00046499857687142866,0.6907813979878222,0.023252263545869532,,,,
84417,1045.0,10.0,LF,183.1,205.7,0.33256737146842963,0.002816649886122731,0.001806667542775408,0.00579225548737455,0.04180937146144549,0.00024658142000712105,0.046241576639062074,0.000536063595076086,0.8955336505059756,0.021644607484898316,,,,
84421,1045.0,20.0,LF,183.2,205.9,0.4071692848177904,0.0021445639444183187,-0.010378767517581761,-0.004887302399336011,0.059366475347296936,0.0002553836955943394,0.0500408695221766,0.0005648219125883625,0.906049555263283,0.021130065492185962,,,,
